year;1;2;3;4;5;6;7;8;9;10;11;12
2006;2931;2695;3042;3138;3345;3383;3527;3474;3348;3462;3168;3135
2007;2732;2618;3092;3041;3312;3281;3460;3325;3235;3325;3066;2948
2008;2575;2586;2549;2722;2887;3029;3018;3224;2860;3063;2829;2830
2009;2377;2167;2349;2592;2780;2750;2787;2865;2650;2622;2512;2411
2010;2101;1830;2213;2552;2704;2569;2852;2825;2799;2827;2587;2437
2011;2088;1880;2220;2338;2578;2624;2910;2749;2633;2856;2494;2497
2012;2283;2127;2487;2434;2672;2789;2833;2844;2735;2658;2602;2542
2013;2230;1952;2356;2300;2532;2692;2660;2899;2741;2768;2615;2457
2014;2168;1893;2245;2308;2596;2583;2696;2800;2618;2831;2714;2604
2015;2371;1983;2401;2439;2869;2790;3021;3049;2904;3070;2780;2861
2016;2354;2426;2694;2713;3005;3025;3025;3134;3154;3287;3041;2890
2017;2625;2312;2689;2770;2915;3032;3237;2990;3108;3107;2903;2872
2018;2631;2320;2615;2572;2977;3026;3056;3009;3064;3108;2791;2750
2019;2476;2205;2544;2611;2917;2926;3037;3091;3093;2972;2841;2774
2020;2485;2450;2369;2127;2865;3374;3483;3523;3426;3522;3168;2974
